"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-DJ-CART-NEG-001: Get Cart with Invalid ID","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","95","TC-DJ-POST-NEG-007: Get Posts by Non-existent User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","90","TC-DJ-USER-NEG-001: Get Single User with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","0","TC-DJ-REC-NEG-004: Search Recipes with Empty Query","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","91","TC-DJ-POST-NEG-003: Get Post with Null ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","22","TC-DJ-USER-001 - Get all user","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","84","NEG-TC-DJ-COM-001: Get Single Comment with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","86","TC-DJ-RECIP-011 - Delete Recipe","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","88","TC-DJ-RECIP-010 - Update Recipe","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","0","TC-DJ-REC-NEG-008: Add Recipe with Missing Required Fields","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","0","TC-DJ-CART-NEG-002: Get Cart with Non-existent ID","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","90","TC-DJ-POST-NEG-002: Get Post with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","90","TC-DJ-USER-011 - Get user's carts","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","21","TC-DJ-POST-001: Get All Posts","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
